hub,BRS,risk_tier,avg_delay,sla_breach_rate,total_load,bc_unweighted,bc_weighted,degree_centrality,in_degree,out_degree,closeness,clustering,pagerank,pagerank_weighted,delay_norm,bc_norm,load_norm,sla_norm,sla_trips
IND000000ACB,0.665466803831811,Critical,1.8970769293613037,0.9760997130252281,38539.0,0.09766083236093348,0.10471561802180482,0.05253623188405797,40,47,0.12669875895067367,0.026946914578280787,0.012619015489674403,0.011530216992395106,0.054433848222933755,1.0,1.0,0.9760997130252281,37617
IND212402AAA,0.5020440979113753,Critical,34.851052999079315,1.0,101.0,0.0005323496358567947,0.0005323496358567947,0.0012077294685990338,1,1,0.05379147504443755,0.0,0.0006916041663745846,0.0007828217887343968,1.0,0.005083765401126164,0.002594841455187088,1.0,101
IND562132AAA,0.4706392063925623,Critical,1.80182145940159,0.9666165413533835,20994.0,0.060877487143167264,0.0693233066246333,0.041666666666666664,36,33,0.12013429426591052,0.05400172117039587,0.0119043870715535,0.011290755062117647,0.05170063181302413,0.6620149690583709,0.5447350666874254,0.9666165413533835,20293
IND785634AAA,0.4624543638399563,Critical,31.108333333333334,1.0,9.0,0.0,0.0,0.0,0,0,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.892608132504781,0.0,0.00020758731641496705,1.0,9
IND416606AAA,0.38717501029550927,Critical,23.556107262598584,1.0,118.0,0.0,0.0,0.0012077294685990338,1,1,0.06477254389019595,0.0,0.0005180840561222195,0.00048284336029184155,0.6759080496999871,0.0,0.003035964502568893,1.0,118
IND395006AAA,0.3863158914617897,Critical,23.50208333333333,1.0,57.0,0.0,0.0,0.0006038647342995169,1,0,0.0016438539989264626,0.0,0.00042787865355074176,0.0003982681159952668,0.6743579120537392,0.0,0.0014531112149047693,1.0,57
IND208012AAA,0.3686229084549443,Critical,22.183623911419964,0.9696969696969697,75.0,0.0,0.0,0.0012077294685990338,1,1,0.08368769615696947,0.0,0.0005343853042745383,0.0005096102140722642,0.636526647042946,0.0,0.0019201826768384452,0.9696969696969697,72
IND211008AAA,0.3528472557620621,Critical,20.189616402116403,1.0,18.0,0.0,0.0,0.0006038647342995169,0,1,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.5793115175788165,0.0,0.000441123047381805,1.0,18
IND121002AAA,0.3416592993236514,Critical,19.083333333333332,1.0,3.0,0.0,0.0,0.0,0,0,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.5475683427366591,0.0,5.189682910374176e-05,1.0,3
IND501359AAE,0.33734778775353746,Critical,1.9785068299177304,0.9835329341317365,8482.0,0.045482756725203494,0.04395770392749245,0.03260869565217391,28,26,0.11658602397113678,0.037076271186440676,0.012216788323943526,0.011945032368657734,0.05677036013718145,0.41978173607626695,0.22006850381441695,0.9835329341317365,8342
IND421302AAG,0.30828786589851853,Critical,2.083996817904921,0.9915272887323944,14580.0,0.031152511855503506,0.021979581709648702,0.03260869565217391,26,28,0.11473032947194223,0.059135977337110485,0.007395854747478397,0.007857440630595236,0.05979724107503941,0.2098978368735017,0.37830193575172555,0.9915272887323944,14456
IND151103AAA,0.3074453516401404,Critical,15.672364672364672,1.0,11.0,0.0,0.0,0.0,0,0,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.44969558517439057,0.0,0.00025948414551870883,1.0,11
IND743270AAA,0.3043557438950391,Critical,15.364718720162122,1.0,11.0,0.0,0.0,0.0,0,0,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.44086813447410106,0.0,0.00025948414551870883,1.0,11
IND741201AAC,0.3024677621731611,Critical,15.179824561403509,1.0,5.0,0.0,0.0,0.0,0,0,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.4355628669757704,0.0,0.00010379365820748353,1.0,5
IND712311AAA,0.30022541008459286,Critical,2.3009480296597964,0.9942572741194488,7504.0,0.030869390213850274,0.031079877986485108,0.02355072463768116,18,21,0.11351271899141151,0.03429355281207133,0.0050197673413075634,0.005592253658747655,0.06602233882920502,0.29680269833305456,0.19469095438268721,0.9942572741194488,7460
IND482002AAA,0.2983908839579604,Critical,14.772321428571429,1.0,8.0,0.0,0.0,0.0,0,0,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.42387016050739357,0.0,0.00018163890186309616,1.0,8
IND493445AAB,0.29505672966090263,Critical,14.40983606557377,1.0,67.0,0.0,0.0,0.0006038647342995169,1,0,0.0006038647342995169,0.0,0.0003157072717394195,0.0003185237513780839,0.4134691731109085,0.0,0.001712595360423478,1.0,67
IND425405AAA,0.28926412259248174,Critical,13.850093549067575,1.0,34.0,0.0,0.0,0.0006038647342995169,0,1,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.39740818016125545,0.0,0.000856297680211739,1.0,34
IND431131AAB,0.2750119734327403,Critical,12.441279013542502,1.0,14.0,0.0,0.0,0.0006038647342995169,0,1,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.35698430729972985,0.0,0.00033732938917432144,1.0,14
IND208017AAA,0.2715708565486589,Critical,12.099148496431106,1.0,13.0,0.0,0.0,0.0006038647342995169,0,1,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.3471673724392413,0.0,0.00031138097462245055,1.0,13
IND411033AAA,0.26464866734982134,Critical,1.9355327517818508,0.9583846343265205,7756.0,0.02091062880058677,0.021364405913860796,0.02294685990338164,18,20,0.11251124946518935,0.06367583212735166,0.0059315055037914115,0.0060587342898164075,0.05553728180990638,0.20402310865808107,0.20122995484975867,0.9583846343265205,7433
IND844505AAB,0.26330112357564234,Critical,11.108327774189876,1.0,43.0,0.0005323496358567947,0.0005323496358567947,0.0012077294685990338,1,1,0.060176161919040475,0.0,0.0006829717402286235,0.0007589566691034053,0.31873722078019656,0.005083765401126164,0.001089833411178577,1.0,43
IND792121AAB,0.26180093490241635,Critical,11.097375501337126,1.0,69.0,0.0,0.0,0.0012077294685990338,1,1,0.043615624261671766,0.0,0.0005067206309520262,0.00043743995839146945,0.31842296132717407,0.0,0.00176449218952722,1.0,69
IND722151AAA,0.2611514578960575,Critical,10.9020274204266,1.0,28.0,0.0005323496358567947,0.0005323496358567947,0.0012077294685990338,1,1,0.04126579367441357,0.0,0.0009043514675788624,0.0008279730371197824,0.3128177338203987,0.005083765401126164,0.0007006071929005138,1.0,28
IND209801AAA,0.2569933753453238,Critical,11.189757339771305,0.96,120.0,0.0,0.0,0.0012077294685990338,1,1,0.08368769615696947,0.0,0.0005343853042745383,0.0005096102140722642,0.32107372308282656,0.0,0.003087861331672635,0.96,115
IND160002AAC,0.2566044313696906,Critical,1.9252097411760403,0.9628571428571429,5324.0,0.02374190112360016,0.022764058554811215,0.03079710144927536,27,24,0.10610260869565218,0.026503164556962024,0.008967549729736075,0.009481278937348781,0.05524107811683337,0.21738933489435244,0.1381234106596087,0.9628571428571429,5126
IND424201AAA,0.2559941301011413,Critical,10.552238805970148,1.0,5.0,0.0,0.0,0.0,0,0,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.30278106105571373,0.0,0.00010379365820748353,1.0,5
IND302026AAA,0.254600757639329,Critical,10.394374416433239,1.0,42.0,0.0,0.0,0.0006038647342995169,1,0,0.0029589371980676326,0.0,0.00040096662344827824,0.0004197472925114176,0.2982513732571534,0.0,0.001063884996626706,1.0,42
IND828111AAA,0.24771931287110338,Critical,9.720010381775086,1.0,21.0,0.0,0.0,0.0006038647342995169,0,1,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.2789014834654169,0.0,0.0005189682910374177,1.0,21
IND847226AAA,0.24631015979195847,Critical,9.438599022383022,1.0,147.0,0.0002663572544040165,0.0002663572544040165,0.0012077294685990338,1,1,0.06945342525637055,0.5,0.000602933460934559,0.0005561002355248685,0.2708267960406352,0.0025436249094051397,0.0037884685245731485,1.0,147
IND395001AAA,0.2452227772706665,Critical,9.466768416768417,1.0,30.0,0.0,0.0,0.0012077294685990338,1,1,0.001358695652173913,0.0,0.00042787865355074176,0.0004447022606679955,0.2716350756179019,0.0,0.0007525040220042555,1.0,30
IND400072AAI,0.2445691177084492,Critical,9.416666666666666,1.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.2701974791669977,0.0,0.0,1.0,1
IND395009AAA,0.24296267993264808,Critical,9.242237256207844,1.0,29.0,0.0,0.0,0.0006038647342995169,0,1,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.2651924823175932,0.0,0.0007265556074523847,1.0,29
IND400072AAJ,0.2410333538373588,Critical,9.0,1.0,126.0,0.0,0.0,0.0012077294685990338,2,0,0.09175968144930195,0.0,0.000540368900892635,0.0005917342148112539,0.2582418384958916,0.0,0.0032435518189838602,1.0,126
IND847223AAA,0.24091473148691206,Critical,9.039347461940952,1.0,27.0,0.0,0.0,0.0006038647342995169,0,1,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.25937085637497814,0.0,0.0006746587783486429,1.0,27
IND131028AAB,0.2376551656448004,Critical,1.7201294999927592,0.8686087990487514,4478.0,0.02337657989987887,0.023335814469401753,0.016908212560386472,15,13,0.10589928207406996,0.040106951871657755,0.005049967284553022,0.005173166491289826,0.04935660050323877,0.22284941740536318,0.11617105194872593,0.8686087990487514,3889
IND209304AAA,0.23406224084785562,Critical,2.064185189723203,0.9418374091209517,3759.0,0.01711285980816718,0.018343987623509493,0.016908212560386472,15,13,0.10290833400804253,0.030913978494623656,0.005554262901458644,0.00574688560843566,0.059228775376678984,0.17517909906896356,0.09751414188593077,0.9418374091209517,3540
IND847404AAB,0.23320410181308604,Critical,8.089729862887236,1.0,85.0,0.0005323496358567947,0.0005323496358567947,0.0012077294685990338,1,1,0.060176161919040475,0.0,0.0006829717402286235,0.0006748825162659396,0.23212296808079078,0.005083765401126164,0.002179666822357154,1.0,85
IND600056AAB,0.2331915491738279,Critical,1.907389347512629,0.9398092967818832,3774.0,0.01968566522700899,0.018668724550111652,0.019927536231884056,15,18,0.10740869846903564,0.03667953667953668,0.006125970775701663,0.006029464354827508,0.054729747981015604,0.17828023080782737,0.09790336810420883,0.9398092967818832,3546
IND382430AAB,0.23160135501598073,Critical,1.8857238030013743,0.9664772727272727,3713.0,0.017889762064611014,0.016903834084971613,0.016304347826086956,15,12,0.10420196485666657,0.02881844380403458,0.005129065369358268,0.00514972838227165,0.05410808686472661,0.16142610246975522,0.0963205148165447,0.9664772727272727,3588
IND207123AAA,0.2313576255802098,Critical,8.098039215686274,1.0,7.0,0.0,0.0,0.0,0,0,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.2323613928078502,0.0,0.00015569048731122528,1.0,7
IND302014AAA,0.2311247264675804,Critical,1.790793509373179,0.9646017699115044,2491.0,0.018029468442659822,0.019382051169782682,0.00966183574879227,9,7,0.10713106693825947,0.06837606837606838,0.0035239234751453423,0.0036891609991545646,0.051384200914115497,0.1850922673802754,0.06461155223415849,0.9646017699115044,2402
IND671315AAA,0.23054022457281503,Critical,8.01923076923077,1.0,2.0,0.0,0.0,0.0,0,0,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.23010009968544193,0.0,2.594841455187088e-05,1.0,2
IND110037AAM,0.22931958415618173,Critical,2.154643648281236,0.9831097863884749,5782.0,0.011833576929465598,0.010545922909642862,0.018115942028985508,14,16,0.10420196485666657,0.054778554778554776,0.004398715729959385,0.004952618642387188,0.06182434855951574,0.10071012432402296,0.15000778452436556,0.9831097863884749,5684
IND221010AAB,0.22912415137007822,Critical,7.867890882024157,1.0,22.0,0.0,0.0,0.0,0,0,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.22575762293988674,0.0,0.0005449167055892885,1.0,22
IND208019AAA,0.2287333915596902,Critical,7.815028680469857,1.0,49.0,0.0,0.0,0.0012077294685990338,1,1,0.08368769615696947,0.0,0.0005343853042745383,0.0010593671453020925,0.22424081937140644,0.0,0.0012455238984898022,1.0,49
IND802212AAA,0.22865044510451332,Critical,11.02287903460366,0.7857142857142857,19.0,0.0,0.0,0.0006038647342995169,0,1,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.31628539415709644,0.0,0.00046707146193367583,0.7857142857142857,14
IND147105AAA,0.22800820095632213,Critical,7.662183390932506,1.0,58.0,0.0002663572544040165,0.0002663572544040165,0.0018115942028985505,2,1,0.0858324235500681,0.5,0.0009038872953670108,0.0010355548408840338,0.21985514730745503,0.0025436249094051397,0.0014790596294566403,1.0,58
IND401602AAA,0.22728669360464698,Critical,7.6539214739782,1.0,82.0,0.0,0.0,0.0012077294685990338,1,1,0.0006038647342995169,0.0,0.0011181135190702302,0.001127190696324155,0.2196180836825906,0.0,0.0021018215787015414,1.0,82
IND249201AAA,0.22483211747374127,Critical,7.114231171258706,1.0,59.0,0.001076740079104456,0.001076740079104456,0.0024154589371980675,2,2,0.062115146529395475,0.0,0.0007051722189500945,0.0006980389853857498,0.20413245968340318,0.010282516585828176,0.001505008044008511,1.0,59
IND395004AAB,0.22256355088399793,Critical,7.204804345980817,1.0,41.0,0.0,0.0,0.0006038647342995169,1,0,0.0016438539989264626,0.0,0.00042787865355074176,0.00047320403744921004,0.20673132447880846,0.0,0.0010379365820748353,1.0,41
IND721102AAA,0.2225526559164685,Critical,7.211987641797201,1.0,25.0,0.0,0.0,0.0006038647342995169,0,1,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.20693743864748435,0.0,0.0006227619492449011,1.0,25
