model,MAE,RMSE,R2,pct_within_15
OSRM (no model),206.5597197043648,374.5057872468134,0.6359622527688471,4.424069167480129
RandomForest,37.29104259709184,83.96623443061748,0.981700521811005,58.33565750941291
XGBoost,38.52175156397893,85.86956141743555,0.9808615024401027,56.725003486264114
LightGBM,39.051593404864256,86.54717391888094,0.980558259862839,55.037651652489195
