distance_tier,congestion_tier,modal_recommendation,pct_ftl_recommended,avg_cost_diff,avg_time_diff_hr,n_lanes
Short,Low,Carting,0.2597402597402597,-3138.6571050938883,0.0010656023900043393,385
Short,Medium,Carting,0.6514657980456027,-3174.9215366519757,0.0015144622368540568,307
Short,High,FTL,52.901023890784984,-3120.0314014256533,0.0013522987494990874,293
Medium,Low,Carting,0.0,-2841.3992008771775,0.0022705997014477166,453
Medium,Medium,Carting,0.0,-2803.9746499588805,0.0010677535138222238,343
Medium,High,FTL,56.666666666666664,-2856.7330257316758,0.0003200826782111905,180
Long,Low,FTL,100.0,-2194.8998435252333,0.00484962276218919,147
Long,Medium,FTL,100.0,-1972.9417197151838,0.000720482770018618,334
Long,High,FTL,100.0,890.1708046318041,0.006247315004962545,530
