source_center,destination_center,trip_count,weight,pct_sla_breach,median_actual_time,median_osrm_time,delay_iqr,avg_distance,is_chronic,delay_severity_norm,volume_norm,sla_breach_corr_norm,variability_norm,corridor_risk_score
IND380006AAB,IND382430AAB,54,3.126923076923077,1.0,33.5,11.0,1.609340659340659,13.374287037037037,1,0.4157654571142356,0.008860249697946033,1.0,0.2842008413299916,0.44694132940317993
IND342301AAA,IND342005AAD,54,2.6923076923076925,0.9444444444444444,193.0,81.0,3.877932246405698,106.8217425925926,1,0.3495027092796258,0.008860249697946033,0.9444444444444444,0.6848218247967057,0.44660943972711853
IND586128AAA,IND585104AAA,36,3.200152207001522,1.0,119.0,36.5,1.3499472582649599,52.93369166666667,1,0.4269301870163535,0.005235602094240838,1.0,0.23839337204541863,0.4459203125346434
IND221706AAA,IND273014AAB,56,3.227732793522267,1.0,191.5,53.0,1.1821587125416202,76.98143392857142,1,0.4311352048653468,0.009262988320579944,1.0,0.20876282391793546,0.44564611141807725
IND401209AAB,IND401104AAA,33,2.8125,1.0,40.0,16.0,2.6388888888888893,20.88509090909091,1,0.36782758423388734,0.004631494160289972,1.0,0.46601348076662086,0.44489025531028953
IND400037AAA,IND400072AAJ,14,3.2788461538461537,1.0,42.5,13.0,1.0760869565217392,16.1462,1,0.4389280990564222,0.0008054772452678212,1.0,0.19003112648194928,0.4447757215820808
IND742101AAC,IND742303AAB,28,3.1403940886699506,1.0,55.5,16.5,1.4991758241758242,24.40560357142857,1,0.41781928743423247,0.003624647603705195,1.0,0.2647463282925511,0.4445085097038744
IND500008AAF,IND500039AAC,38,3.3333333333333335,1.0,46.5,14.0,0.7814102564102567,15.648194736842106,1,0.44723537570235417,0.005638340716874748,1.0,0.13799281774603506,0.44410301723476386
IND712310AAE,IND712124AAA,60,3.1315789473684212,1.0,52.0,16.5,1.3892543859649127,16.015893333333334,1,0.41647530490193757,0.010068465565847765,1.0,0.2453347978384939,0.44364071813608635
IND110014AAA,IND110024AAA,20,3.2857142857142856,1.0,31.5,11.0,0.9246482683982684,11.1759,1,0.4399752347680943,0.002013693113169553,1.0,0.1632878746261032,0.44282230464814043
IND742121AAB,IND742121AAA,32,3.3038461538461537,1.0,36.0,11.0,0.8111111111111109,12.72969375,1,0.44273967304690864,0.004430124848973017,1.0,0.1432378277724771,0.4425271832082544
IND500039AAC,IND501359AAE,35,2.9583333333333335,0.9714285714285714,72.0,23.0,2.36013986013986,26.175597142857143,1,0.3900617658450581,0.0050342327829238824,0.9714285714285714,0.41678791250014297,0.44181919864091135
IND306401AAB,IND305001AAC,331,3.0142857142857142,1.0,232.0,77.0,0.8617886178861789,99.01016525679758,1,0.3985924314428133,0.06463954893274265,1.0,0.15218720090761018,0.440815579901072
IND321606AAA,IND301001AAB,18,2.2391304347826084,1.0,87.0,45.5,4.4179402722880985,51.46591666666667,1,0.28040996336512297,0.0016109544905356424,1.0,0.7801843165040877,0.4405851556190919
IND631501AAA,IND631003AAA,30,3.2222222222222223,1.0,59.0,19.0,0.9512820512820515,20.1525,1,0.43029504685574793,0.004027386226339106,1.0,0.1679912563864774,0.43992399093753165
