source_center,destination_center,trip_count,median_actual_time,median_osrm_time,weight,delay_ratio_iqr,pct_sla_breach,avg_osrm_distance,pct_ftl,delay_Carting_afternoon,delay_Carting_eve_peak,delay_Carting_morn_peak,delay_Carting_night,delay_FTL_afternoon,delay_FTL_eve_peak,delay_FTL_morn_peak,delay_FTL_night,is_chronic_delay
IND826004AAA,IND815301AAA,15,82.0,47.0,1.7872340425531914,0.20785573122529666,1.0,47.72721333333333,1.0,,,,,,1.7872340425531914,,,1
IND826004AAA,IND815351AAA,22,102.0,36.0,3.0107655502392348,2.172514619883041,0.7272727272727273,43.89277727272727,1.0,,,,,,3.0107655502392348,,2.1761133603238867,1
IND826004AAA,IND815353AAA,12,113.5,73.0,1.8419972640218878,0.3081683358274816,1.0,74.60725833333333,1.0,,,,,,1.8604651162790697,,1.5058823529411764,1
IND826004AAA,IND821115AAB,52,244.5,117.0,1.8798008534850639,0.5185694060662869,1.0,175.47704038461538,1.0,,,,,,,,1.8798008534850639,1
IND827013AAA,IND829121AAA,14,37.0,20.5,1.9333333333333333,0.3201863354037269,1.0,27.997735714285714,0.42857142857142855,2.0,,,,1.7684210526315791,1.6894736842105265,,,1
IND828111AAA,IND826004AAA,14,67.5,11.0,6.136363636363637,3.388824242424236,1.0,14.273035714285713,0.0,,3.4545454545454546,2.235294117647059,6.958899999999994,,,,,1
IND828401AAB,IND826004AAA,24,46.5,14.0,2.9930069930069934,1.2708333333333335,1.0,22.11145833333333,0.0,,3.230769230769231,,2.909090909090909,,,,,1
IND829121AAA,IND834002AAB,57,398.0,54.0,6.958899999999994,1.6096936507936448,1.0,57.532629824561404,0.05263157894736842,6.958899999999994,,,,6.432574999999996,6.958899999999994,,,1
IND829122AAA,IND825301AAA,42,62.5,36.0,1.7672672672672673,0.4245880026367832,1.0,42.829590476190475,1.0,,,,,1.7836257309941521,,1.6562294001318392,,1
IND832109AAB,IND834002AAB,106,141.0,53.0,2.5485849056603773,0.3307239583863564,1.0,77.4508641509434,1.0,,,,,,,,2.5485849056603773,1
IND834002AAB,IND000000ACB,470,829.0,451.0,1.9321710792562141,0.12266501519655204,0.9851063829787234,584.6253965957447,1.0,,,,,,1.9321710792562141,,,1
IND834002AAB,IND781018AAB,33,1154.0,370.0,2.7804878048780486,1.044716252352184,0.9696969696969697,518.7145575757576,1.0,,,,,,,,2.7804878048780486,1
IND834002AAB,IND825102AAA,17,125.0,54.0,2.317073170731707,0.8769230769230767,1.0,75.1465,0.47058823529411764,2.037037037037037,,,,2.8746835443037977,,,,1
IND834002AAB,IND826004AAA,287,186.0,72.0,2.338582677165354,0.2726319076146897,0.9965156794425087,94.64924355400697,0.0,2.4210526315789473,,2.304716285924834,,,,,,1
IND834002AAB,IND827013AAA,169,222.0,53.0,4.363636363636363,2.131247686042207,1.0,66.45764497041421,0.0,4.377777777777778,3.8125,,,,,,,1
IND834002AAB,IND829122AAA,28,53.0,25.0,1.984375,0.75,1.0,35.54764285714286,1.0,,,,,2.109375,,1.79375,,1
IND834002AAB,IND832109AAB,70,118.5,58.0,2.0344827586206895,0.47634836427939864,0.9857142857142858,79.16527714285715,1.0,,,,,2.0086206896551726,2.0517241379310347,,,1
IND841424AAA,IND841428AAA,24,187.5,48.0,3.5973084886128364,1.1325766862809203,1.0,65.036975,1.0,,,,,3.5973084886128364,,,,1
IND842001AAA,IND843105AAB,39,46.0,16.0,2.875,0.770833333333333,1.0,23.292125641025642,1.0,,,,,,2.875,,2.8125,1
IND842001AAA,IND843109AAB,30,30.5,9.0,3.585714285714286,1.5428571428571431,1.0,13.267613333333333,0.0,,3.928571428571429,,2.2857142857142856,,,,,1
IND842001AAA,IND843301AAA,18,146.0,46.0,3.4456521739130435,0.8963665330455344,1.0,57.03039444444445,1.0,,,,,,3.4456521739130435,,,1
IND842001AAA,IND843329AAB,39,73.0,57.0,1.3225806451612903,0.12634603750756201,0.8974358974358975,56.208084615384614,1.0,,,,,,1.3225806451612903,,,1
